iter	Passed	Remaining
0	1	115
1	2	140
2	4	137
3	5	126
4	6	122
5	7	117
6	8	115
7	9	112
8	10	110
9	12	108
10	13	106
11	14	104
12	15	103
13	16	101
14	17	99
15	18	96
16	19	94
17	20	92
18	21	89
19	21	87
20	23	86
21	23	83
22	24	81
23	24	78
24	25	76
25	25	73
26	26	72
27	27	70
28	28	68
29	28	66
30	29	65
31	30	63
32	31	63
33	31	61
34	32	59
35	32	58
36	33	57
37	34	56
38	35	54
39	35	53
40	36	52
41	36	50
42	37	49
43	38	48
44	39	47
45	40	47
46	41	46
47	42	45
48	43	44
49	44	44
50	45	43
51	46	42
52	47	41
53	48	41
54	49	40
55	50	39
56	51	38
57	52	37
58	52	36
59	53	35
60	53	34
61	54	33
62	55	32
63	56	31
64	57	30
65	57	29
66	59	29
67	61	28
68	62	27
69	63	27
70	64	26
71	65	25
72	66	24
73	68	23
74	69	23
75	70	22
76	71	21
77	72	20
78	73	19
79	75	18
80	76	17
81	77	16
82	77	15
83	78	15
84	80	14
85	81	13
86	82	12
87	82	11
88	83	10
89	84	9
90	86	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	93	0
