iter	Passed	Remaining
0	12	12380
1	13	6546
2	13	4545
3	14	3526
4	14	2943
5	15	2526
6	15	2244
7	16	2036
8	17	1873
9	17	1722
10	17	1614
11	18	1527
12	19	1452
13	19	1395
14	21	1379
15	21	1324
16	22	1279
17	22	1237
18	23	1199
19	24	1185
20	24	1158
21	25	1138
22	26	1139
23	27	1123
24	28	1105
25	28	1083
26	29	1072
27	30	1065
28	31	1047
29	31	1029
30	32	1014
31	33	1000
32	34	997
33	35	995
34	35	981
35	37	996
36	37	984
37	39	987
38	39	974
39	40	978
40	41	963
41	42	964
42	42	956
43	44	967
44	45	957
45	46	958
46	46	948
47	47	936
48	48	935
49	48	928
50	49	926
51	50	923
52	51	917
53	52	910
54	52	902
55	53	899
56	53	892
57	54	884
58	54	875
59	55	869
60	56	866
61	57	862
62	57	859
63	58	861
64	59	853
65	59	848
66	60	845
67	61	844
68	62	839
69	63	837
70	63	834
71	64	830
72	65	829
73	65	824
74	66	824
75	67	820
76	68	819
77	68	813
78	69	811
79	70	807
80	70	805
81	71	804
82	73	806
83	73	802
84	75	813
85	76	814
86	77	815
87	78	815
88	79	816
89	80	817
90	81	818
91	84	835
92	85	835
93	86	837
94	87	838
95	89	838
96	90	838
97	91	838
98	92	841
99	93	841
100	94	841
101	95	841
102	96	841
103	97	842
104	98	841
105	99	841
106	100	841
107	102	843
108	103	843
109	104	843
110	105	843
111	106	843
112	107	845
113	109	848
114	111	861
115	113	866
116	113	860
117	114	855
118	114	850
119	115	847
120	116	843
121	116	839
122	117	834
123	117	831
124	118	829
125	119	825
126	119	824
127	120	819
128	121	820
129	122	819
130	124	823
131	124	821
132	125	817
133	126	816
134	127	813
135	127	811
136	128	808
137	129	805
138	129	803
139	130	799
140	130	797
141	131	792
142	131	788
143	132	786
144	132	783
145	133	781
146	134	779
147	134	776
148	135	773
149	136	771
150	136	768
151	136	764
152	137	760
153	137	757
154	138	755
155	139	752
156	139	749
157	140	747
158	140	744
159	141	741
160	141	737
161	142	735
162	142	732
163	143	730
164	145	733
165	145	730
166	145	728
167	146	724
168	146	721
169	147	719
170	147	716
171	148	713
172	148	711
173	149	707
174	149	704
175	149	702
176	150	699
177	150	696
178	151	694
179	151	692
180	152	689
181	152	686
182	153	684
183	153	681
184	154	678
185	154	676
186	154	673
187	155	671
188	155	669
189	156	667
190	156	664
191	157	662
192	157	660
193	158	658
194	159	656
195	159	653
196	159	651
197	160	648
198	160	646
199	161	644
200	161	642
201	161	639
202	162	637
203	162	635
204	163	633
205	163	631
206	164	629
207	164	627
208	165	625
209	165	623
210	166	621
211	166	619
212	167	617
213	170	626
214	171	624
215	171	622
216	172	620
217	172	619
218	173	617
219	173	616
220	174	614
221	174	612
222	175	610
223	176	610
224	176	608
225	181	620
226	181	619
227	182	617
228	182	615
229	183	613
230	183	612
231	184	610
232	184	608
233	185	606
234	185	604
235	186	603
236	186	601
237	187	599
238	187	597
239	188	595
240	188	594
241	189	592
242	189	590
243	190	589
244	190	587
245	191	586
246	191	584
247	192	582
248	192	581
249	193	579
250	193	578
251	194	576
252	195	575
253	195	574
254	196	575
255	197	573
256	197	572
257	198	571
258	199	569
259	199	568
260	200	566
261	200	565
262	201	563
263	201	562
264	202	560
265	203	561
266	204	561
267	205	561
268	207	562
269	207	561
270	208	560
271	208	559
272	209	557
273	210	556
274	211	556
275	211	555
276	212	553
277	212	552
278	214	553
279	214	552
280	215	551
281	216	552
282	217	551
283	218	550
284	218	548
285	219	547
286	219	546
287	220	545
288	221	544
289	221	542
290	222	541
291	222	540
292	223	539
293	223	537
294	224	536
295	224	534
296	225	533
297	225	532
298	227	533
299	227	531
300	230	534
301	230	532
302	231	531
303	231	530
304	232	529
305	232	527
306	233	526
307	233	525
308	234	524
309	235	523
310	235	522
311	236	521
312	237	520
313	238	520
314	238	519
315	239	518
316	240	517
317	241	516
318	241	515
319	242	514
320	242	513
321	243	512
322	243	511
323	244	509
324	244	508
325	245	507
326	245	505
327	246	504
328	246	503
329	247	502
330	247	500
331	248	499
332	248	498
333	249	497
334	249	495
335	250	494
336	250	493
337	251	492
338	251	491
339	252	490
340	252	488
341	253	487
342	253	486
343	254	484
344	254	483
345	255	482
346	255	481
347	256	480
348	257	479
349	257	478
350	257	476
351	258	475
352	258	474
353	259	473
354	259	472
355	260	471
356	261	470
357	261	469
358	262	468
359	262	467
360	263	466
361	264	465
362	264	464
363	265	463
364	265	462
365	266	461
